wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,wine,food,text,cluster
Nebbiolo,Red,bbq brisket,Red Meat,Thai,4,Good,Tannic red complements red meat fat.,Nebbiolo,bbq brisket,Nebbiolo Tannic red complements red meat fat.,3
Zinfandel,Red,bbq ribs,Smoky BBQ,Moroccan,3,Neutral,Heuristic pairing assessment.,Zinfandel,bbq ribs,Zinfandel Heuristic pairing assessment.,0
Gewürztraminer,White,Sichuan noodles,Spicy,Italian,2,Poor,Heuristic pairing assessment.,Gewürztraminer,Sichuan noodles,Gewürztraminer Heuristic pairing assessment.,0
Viognier,White,mac and cheese,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Viognier,mac and cheese,Viognier Heuristic pairing assessment.,0
Sauternes,Dessert,duck à l’orange,Poultry,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.,Sauternes,duck à l’orange,Sauternes Heuristic pairing assessment.,0
Grenache,Red,cream of mushroom soup,Creamy,Spanish,1,Terrible,Too lean for creamy dish.,Grenache,cream of mushroom soup,Grenache Too lean for creamy dish.,6
Malbec,Red,bbq brisket,Red Meat,Mexican,3,Neutral,Tannic red complements red meat fat.,Malbec,bbq brisket,Malbec Tannic red complements red meat fat.,3
Cabernet Sauvignon,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,fondue,Cabernet Sauvignon Heuristic pairing assessment.,0
Pinot Noir,Red,chicken curry,Poultry,Japanese,4,Good,Lighter wines fit poultry.,Pinot Noir,chicken curry,Pinot Noir Lighter wines fit poultry.,7
Malbec,Red,smoked sausage,Smoky BBQ,Korean,4,Good,Heuristic pairing assessment.,Malbec,smoked sausage,Malbec Heuristic pairing assessment.,0
Grenache,Red,pork tenderloin,Pork,Thai,4,Good,Light/medium red suits richer poultry/pork.,Grenache,pork tenderloin,Grenache Light/medium red suits richer poultry/pork.,6
Grüner Veltliner,White,chocolate mousse,Dessert,Middle Eastern,2,Poor,Dry table wine clashes with dessert sweetness.,Grüner Veltliner,chocolate mousse,Grüner Veltliner Dry table wine clashes with dessert sweetness.,6
Chardonnay,White,chicken curry,Poultry,Japanese,4,Good,Lighter wines fit poultry.,Chardonnay,chicken curry,Chardonnay Lighter wines fit poultry.,6
Port,Fortified,fondue,Cheese,German,3,Neutral,Heuristic pairing assessment.,Port,fondue,Port Heuristic pairing assessment.,0
Gewürztraminer,White,Thai curry,Spicy,Greek,3,Neutral,Heuristic pairing assessment.,Gewürztraminer,Thai curry,Gewürztraminer Heuristic pairing assessment.,0
Merlot,Red,pork tenderloin,Pork,Ethiopian,4,Good,Light/medium red suits richer poultry/pork.,Merlot,pork tenderloin,Merlot Light/medium red suits richer poultry/pork.,6
Pinot Noir,Red,beef stew,Red Meat,Greek,3,Neutral,Heuristic pairing assessment.,Pinot Noir,beef stew,Pinot Noir Heuristic pairing assessment.,7
Malbec,Red,bbq ribs,Smoky BBQ,Mexican,2,Poor,Heuristic pairing assessment.,Malbec,bbq ribs,Malbec Heuristic pairing assessment.,0
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Korean,2,Poor,Heuristic pairing assessment.,Ice Wine,bbq ribs,Ice Wine Heuristic pairing assessment.,6
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Ethiopian,4,Good,Heuristic pairing assessment.,Cabernet Sauvignon,grilled ribeye,Cabernet Sauvignon Heuristic pairing assessment.,0
Chardonnay,White,carbonara,Creamy,Greek,5,Excellent,Richer body matches creamy textures.,Chardonnay,carbonara,Chardonnay Richer body matches creamy textures.,6
Merlot,Red,carbonara,Pork,Greek,3,Neutral,Too lean for creamy dish.,Merlot,carbonara,Merlot Too lean for creamy dish.,6
Merlot,Red,mixed nuts,Salty Snack,Indian,3,Neutral,Heuristic pairing assessment.,Merlot,mixed nuts,Merlot Heuristic pairing assessment.,0
Viognier,White,bacon burger,Pork,Indian,2,Poor,Heuristic pairing assessment.,Viognier,bacon burger,Viognier Heuristic pairing assessment.,0
Sauternes,Dessert,chocolate mousse,Dessert,Italian,4,Good,Sweet/sparkling pairs with dessert.,Sauternes,chocolate mousse,Sauternes Sweet/sparkling pairs with dessert.,6
Nebbiolo,Red,Sichuan noodles,Spicy,Moroccan,2,Poor,Heuristic pairing assessment.,Nebbiolo,Sichuan noodles,Nebbiolo Heuristic pairing assessment.,0
Zinfandel,Red,grilled burger,Smoky BBQ,Argentinian,3,Neutral,Heuristic pairing assessment.,Zinfandel,grilled burger,Zinfandel Heuristic pairing assessment.,0
Viognier,White,carbonara,Pork,French,4,Good,Richer body matches creamy textures.,Viognier,carbonara,Viognier Richer body matches creamy textures.,6
Malbec,Red,roast lamb,Red Meat,Thai,4,Good,Tannic red complements red meat fat.,Malbec,roast lamb,Malbec Tannic red complements red meat fat.,3
Sauternes,Dessert,pork tenderloin,Pork,French,3,Neutral,Heuristic pairing assessment.,Sauternes,pork tenderloin,Sauternes Heuristic pairing assessment.,0
Champagne,Sparkling,grilled salmon,Seafood,Spanish,4,Good,Crisp acidity suits seafood.,Champagne,grilled salmon,Champagne Crisp acidity suits seafood.,4
Sauternes,Dessert,stir-fried tofu,Vegetarian,Middle Eastern,4,Good,Heuristic pairing assessment.,Sauternes,stir-fried tofu,Sauternes Heuristic pairing assessment.,0
Sauvignon Blanc,White,shrimp scampi,Seafood,American BBQ,4,Good,Crisp acidity suits seafood.,Sauvignon Blanc,shrimp scampi,Sauvignon Blanc Crisp acidity suits seafood.,4
Merlot,Red,olives and cheese,Salty Snack,Vietnamese,4,Good,Heuristic pairing assessment.,Merlot,olives and cheese,Merlot Heuristic pairing assessment.,0
Champagne,Sparkling,fish tacos,Seafood,Argentinian,4,Good,Crisp acidity suits seafood.,Champagne,fish tacos,Champagne Crisp acidity suits seafood.,4
Riesling (dry),White,roast lamb,Red Meat,Korean,2,Poor,Delicate wine overwhelmed by red meat.,Riesling (Dry),roast lamb,Riesling (Dry) Delicate wine overwhelmed by red meat.,3
Sangiovese,Red,caprese salad,Acidic,Korean,3,Neutral,Heuristic pairing assessment.,Sangiovese,caprese salad,Sangiovese Heuristic pairing assessment.,0
Zinfandel,Red,smoked sausage,Smoky BBQ,Ethiopian,3,Neutral,Heuristic pairing assessment.,Zinfandel,smoked sausage,Zinfandel Heuristic pairing assessment.,0
Grüner Veltliner,White,mushroom risotto,Vegetarian,French,3,Neutral,Heuristic pairing assessment.,Grüner Veltliner,mushroom risotto,Grüner Veltliner Heuristic pairing assessment.,0
Grenache,Red,carbonara,Pork,Spanish,2,Poor,Too lean for creamy dish.,Grenache,carbonara,Grenache Too lean for creamy dish.,6
Nebbiolo,Red,roast lamb,Red Meat,Chinese (Sichuan),4,Good,Tannic red complements red meat fat.,Nebbiolo,roast lamb,Nebbiolo Tannic red complements red meat fat.,3
Grüner Veltliner,White,vegetable curry,Vegetarian,German,4,Good,Heuristic pairing assessment.,Grüner Veltliner,vegetable curry,Grüner Veltliner Heuristic pairing assessment.,0
Malbec,Red,beef stew,Red Meat,Spanish,4,Good,Heuristic pairing assessment.,Malbec,beef stew,Malbec Heuristic pairing assessment.,0
Pinot Noir,Red,mushroom risotto,Vegetarian,Greek,2,Poor,Heuristic pairing assessment.,Pinot Noir,mushroom risotto,Pinot Noir Heuristic pairing assessment.,7
Albariño,White,cheesecake,Dessert,French,1,Terrible,Dry table wine clashes with dessert sweetness.,Albariño,cheesecake,Albariño Dry table wine clashes with dessert sweetness.,6
Merlot,Red,cheese platter,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.,Merlot,cheese platter,Merlot Heuristic pairing assessment.,0
Sauvignon Blanc,White,alfredo pasta,Creamy,Moroccan,1,Terrible,Too lean for creamy dish.,Sauvignon Blanc,alfredo pasta,Sauvignon Blanc Too lean for creamy dish.,6
Cava,Sparkling,grilled salmon,Seafood,German,4,Good,Crisp acidity suits seafood.,Cava,grilled salmon,Cava Crisp acidity suits seafood.,4
Nebbiolo,Red,beef stew,Red Meat,Spanish,3,Neutral,Heuristic pairing assessment.,Nebbiolo,beef stew,Nebbiolo Heuristic pairing assessment.,0
Syrah/Shiraz,Red,beef stew,Red Meat,Moroccan,3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,beef stew,Syrah/Shiraz Heuristic pairing assessment.,0
Ice Wine,Dessert,carbonara,Pork,Argentinian,5,Excellent,Richer body matches creamy textures.,Ice Wine,carbonara,Ice Wine Richer body matches creamy textures.,6
Sauternes,Dessert,chicken curry,Poultry,American BBQ,3,Neutral,Heavy wine can dominate poultry.,Sauternes,chicken curry,Sauternes Heavy wine can dominate poultry.,6
Barbera,Red,mac and cheese,Cheese,Greek,4,Good,Heuristic pairing assessment.,Barbera,mac and cheese,Barbera Heuristic pairing assessment.,0
Sauternes,Dessert,fish tacos,Seafood,Middle Eastern,2,Poor,Tannic reds clash with delicate seafood.,Sauternes,fish tacos,Sauternes Tannic reds clash with delicate seafood.,2
Cabernet Sauvignon,Red,bbq ribs,Smoky BBQ,Thai,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,bbq ribs,Cabernet Sauvignon Heuristic pairing assessment.,0
Champagne,Sparkling,oysters,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.,Champagne,oysters,Champagne Crisp acidity suits seafood.,4
Riesling (dry),White,Indian vindaloo,Spicy,American BBQ,3,Neutral,Off-dry sweetness calms spice.,Riesling (Dry),Indian vindaloo,Riesling (Dry) Off-dry sweetness calms spice.,6
Port,Fortified,lemon tart,Dessert,Vietnamese,1,Terrible,Low-acid wine seems flabby vs acids.,Port,lemon tart,Port Low-acid wine seems flabby vs acids.,6
Pinot Noir,Red,vegetable curry,Vegetarian,French,3,Neutral,Heuristic pairing assessment.,Pinot Noir,vegetable curry,Pinot Noir Heuristic pairing assessment.,7
Port,Fortified,chocolate mousse,Dessert,Indian,3,Neutral,Heuristic pairing assessment.,Port,chocolate mousse,Port Heuristic pairing assessment.,0
Sauternes,Dessert,mushroom risotto,Vegetarian,Spanish,2,Poor,Heuristic pairing assessment.,Sauternes,mushroom risotto,Sauternes Heuristic pairing assessment.,0
Chardonnay,White,duck à l’orange,Poultry,Middle Eastern,2,Poor,Heuristic pairing assessment.,Chardonnay,duck à l’orange,Chardonnay Heuristic pairing assessment.,0
Ice Wine,Dessert,mushroom risotto,Vegetarian,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.,Ice Wine,mushroom risotto,Ice Wine Deliberately bad pairing example for contrast.,5
Sangiovese,Red,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Heuristic pairing assessment.,Sangiovese,stir-fried tofu,Sangiovese Heuristic pairing assessment.,0
Port,Fortified,mac and cheese,Cheese,Thai,3,Neutral,Heuristic pairing assessment.,Port,mac and cheese,Port Heuristic pairing assessment.,0
Syrah/Shiraz,Red,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,grilled ribeye,Syrah/Shiraz Heuristic pairing assessment.,0
Sauternes,Dessert,carbonara,Pork,Korean,4,Good,Richer body matches creamy textures.,Sauternes,carbonara,Sauternes Richer body matches creamy textures.,6
Sauternes,Dessert,grilled burger,Smoky BBQ,Korean,3,Neutral,Heuristic pairing assessment.,Sauternes,grilled burger,Sauternes Heuristic pairing assessment.,0
Sauternes,Dessert,cheese platter,Cheese,Korean,5,Excellent,Idealized perfect pairing example for contrast.,Sauternes,cheese platter,Sauternes Idealized perfect pairing example for contrast.,5
Sangiovese,Red,vegetable curry,Vegetarian,Chinese (Sichuan),4,Good,Heuristic pairing assessment.,Sangiovese,vegetable curry,Sangiovese Heuristic pairing assessment.,0
Chenin Blanc,White,fondue,Cheese,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,fondue,Chenin Blanc Heuristic pairing assessment.,0
Sauvignon Blanc,White,oysters,Seafood,Indian,5,Excellent,Crisp acidity suits seafood.,Sauvignon Blanc,oysters,Sauvignon Blanc Crisp acidity suits seafood.,4
Syrah/Shiraz,Red,bbq brisket,Red Meat,Middle Eastern,4,Good,Tannic red complements red meat fat.,Syrah/Shiraz,bbq brisket,Syrah/Shiraz Tannic red complements red meat fat.,3
Merlot,Red,cream of mushroom soup,Creamy,Greek,1,Terrible,Too lean for creamy dish.,Merlot,cream of mushroom soup,Merlot Too lean for creamy dish.,6
Merlot,Red,charcuterie board,Salty Snack,American BBQ,3,Neutral,Heuristic pairing assessment.,Merlot,charcuterie board,Merlot Heuristic pairing assessment.,0
Grenache,Red,alfredo pasta,Creamy,Korean,1,Terrible,Too lean for creamy dish.,Grenache,alfredo pasta,Grenache Too lean for creamy dish.,6
Champagne,Sparkling,bbq brisket,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.,Champagne,bbq brisket,Champagne Delicate wine overwhelmed by red meat.,3
Provence Rosé,Rosé,grilled ribeye,Red Meat,Thai,5,Excellent,Idealized perfect pairing example for contrast.,Provence Rosé,grilled ribeye,Provence Rosé Idealized perfect pairing example for contrast.,5
Malbec,Red,grilled ribeye,Red Meat,Thai,4,Good,Heuristic pairing assessment.,Malbec,grilled ribeye,Malbec Heuristic pairing assessment.,0
Torrontés,White,Sichuan noodles,Spicy,Indian,3,Neutral,Heuristic pairing assessment.,Torrontés,Sichuan noodles,Torrontés Heuristic pairing assessment.,0
Sauternes,Dessert,bbq ribs,Smoky BBQ,Ethiopian,4,Good,Heuristic pairing assessment.,Sauternes,bbq ribs,Sauternes Heuristic pairing assessment.,0
Ice Wine,Dessert,grilled burger,Smoky BBQ,American BBQ,2,Poor,Heuristic pairing assessment.,Ice Wine,grilled burger,Ice Wine Heuristic pairing assessment.,6
Sangiovese,Red,gazpacho,Acidic,Indian,4,Good,Acidic wine balances acidic food.,Sangiovese,gazpacho,Sangiovese Acidic wine balances acidic food.,1
Nebbiolo,Red,bacon burger,Pork,German,2,Poor,Heuristic pairing assessment.,Nebbiolo,bacon burger,Nebbiolo Heuristic pairing assessment.,0
Provence Rosé,Rosé,citrus salad,Acidic,Greek,4,Good,Acidic wine balances acidic food.,Provence Rosé,citrus salad,Provence Rosé Acidic wine balances acidic food.,1
Sauternes,Dessert,bacon burger,Pork,Argentinian,4,Good,Heuristic pairing assessment.,Sauternes,bacon burger,Sauternes Heuristic pairing assessment.,0
Malbec,Red,fondue,Cheese,Moroccan,3,Neutral,Heuristic pairing assessment.,Malbec,fondue,Malbec Heuristic pairing assessment.,0
Viognier,White,pork tenderloin,Pork,Argentinian,2,Poor,Heuristic pairing assessment.,Viognier,pork tenderloin,Viognier Heuristic pairing assessment.,0
Albariño,White,alfredo pasta,Creamy,American BBQ,2,Poor,Too lean for creamy dish.,Albariño,alfredo pasta,Albariño Too lean for creamy dish.,6
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Heuristic pairing assessment.,Ice Wine,stir-fried tofu,Ice Wine Heuristic pairing assessment.,6
Albariño,White,fish tacos,Seafood,German,5,Excellent,Crisp acidity suits seafood.,Albariño,fish tacos,Albariño Crisp acidity suits seafood.,4
Albariño,White,shrimp scampi,Seafood,German,5,Excellent,Crisp acidity suits seafood.,Albariño,shrimp scampi,Albariño Crisp acidity suits seafood.,4
Nebbiolo,Red,cream of mushroom soup,Creamy,Indian,1,Terrible,Too lean for creamy dish.,Nebbiolo,cream of mushroom soup,Nebbiolo Too lean for creamy dish.,6
Sauternes,Dessert,roast chicken with herbs,Poultry,Italian,3,Neutral,Heavy wine can dominate poultry.,Sauternes,roast chicken with herbs,Sauternes Heavy wine can dominate poultry.,6
Sauvignon Blanc,White,grilled salmon,Seafood,French,4,Good,Crisp acidity suits seafood.,Sauvignon Blanc,grilled salmon,Sauvignon Blanc Crisp acidity suits seafood.,4
Albariño,White,grilled salmon,Seafood,Vietnamese,5,Excellent,Crisp acidity suits seafood.,Albariño,grilled salmon,Albariño Crisp acidity suits seafood.,4
Chardonnay,White,pork tenderloin,Pork,Argentinian,2,Poor,Heuristic pairing assessment.,Chardonnay,pork tenderloin,Chardonnay Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,oysters,Seafood,Greek,2,Poor,Tannic reds clash with delicate seafood.,Gamay (Beaujolais),oysters,Gamay (Beaujolais) Tannic reds clash with delicate seafood.,2
Cava,Sparkling,olives and cheese,Salty Snack,Mexican,4,Good,Heuristic pairing assessment.,Cava,olives and cheese,Cava Heuristic pairing assessment.,0
Tempranillo,Red,fondue,Cheese,French,2,Poor,Heuristic pairing assessment.,Tempranillo,fondue,Tempranillo Heuristic pairing assessment.,0
Pinot Noir,Red,gazpacho,Acidic,American BBQ,3,Neutral,Acidic wine balances acidic food.,Pinot Noir,gazpacho,Pinot Noir Acidic wine balances acidic food.,1
Pinot Noir,Red,caprese salad,Acidic,Italian,4,Good,Heuristic pairing assessment.,Pinot Noir,caprese salad,Pinot Noir Heuristic pairing assessment.,7
Chardonnay,White,mac and cheese,Cheese,Vietnamese,2,Poor,Heuristic pairing assessment.,Chardonnay,mac and cheese,Chardonnay Heuristic pairing assessment.,0
Grüner Veltliner,White,caprese salad,Acidic,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Grüner Veltliner,caprese salad,Grüner Veltliner Heuristic pairing assessment.,0
Grüner Veltliner,White,fish tacos,Seafood,Italian,3,Neutral,Crisp acidity suits seafood.,Grüner Veltliner,fish tacos,Grüner Veltliner Crisp acidity suits seafood.,4
